,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3487635877,1,8,4,-37.8158343,145.04645,-37.8100093,144.9957902,4510.0,2018-03-09,07:24:43,1411.4399999999998,7:48:14,9.04
ID1553159484,0,3,4,-37.8109075,144.9888918,-37.8080677,144.9917146,537.0,2018-05-08,08:22:56,153.54,8:25:29,3.91
ID3397114293,1,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-04-20,21:25:59,2302.3800000000006,22:04:21,25.32
ID3646335243,1,5,6,-37.7990471,144.9355884,-37.7907967,144.985865,7771.0,2018-07-14,10:44:36,2060.8799999999997,11:18:56,16.15
ID3427629663,1,7,4,-37.8618349,144.905716,-37.8141184,145.009281,11869.0,2018-07-26,11:59:45,3714.659999999999,13:01:39,17.24
ID1283829247,0,6,1,-37.7738026,144.9836466,-37.7996973,144.973788,6517.0,2018-06-05,02:56:52,2133.3599999999997,3:32:25,14.2
ID3201506374,1,4,9,-37.8124079,145.0096948,-38.1109156,144.6541725,47817.8,2018-07-19,08:59:36,11487.48,12:11:03,47.37
ID3629793559,1,3,2,-37.8180035,144.9941103,-37.8223955,144.9474232,4322.0,2018-04-09,06:26:05,1139.4600000000003,6:45:04,6.96
ID3120442039,1,7,6,-37.8618349,144.905716,-37.7874325,144.9803767,11633.0,2018-06-09,17:50:01,3645.299999999998,18:50:46,28.26
ID3574731417,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-05-02,20:56:30,4917.479999999999,22:18:27,29.26
ID3294763884,1,1,5,-37.8130921,144.9708751,-37.8074307,144.9340125,3865.7,2018-04-04,06:06:05,880.9799999999998,6:20:45,7.29
ID1678135765,0,5,4,-37.8059806,144.9391348,-37.8130627,145.0117925,6835.4,2018-04-12,11:36:55,1764.8999999999996,12:06:19,4.89
ID5979667243,2,9,4,-38.1109156,144.6541725,-37.8069839,145.0106199,48246.6,2018-07-13,21:43:09,11736.300000000003,0:58:45,1171.65
ID3551938342,1,7,5,-37.8618349,144.905716,-37.8115093,144.9357958,10699.0,2018-06-28,04:07:08,3464.399999999998,5:04:52,28.14
ID3551925896,1,7,2,-37.8618349,144.905716,-37.814128,144.938838,10263.0,2018-03-04,06:44:58,3376.739999999999,7:41:14,20.62
ID3338832933,1,3,9,-37.8234498,144.9770781,-38.1109156,144.6541725,44918.0,2018-06-27,21:25:20,10837.8,0:25:57,55.8
ID1896487448,0,3,4,-37.823832,144.981317,-37.8126689,145.0002816,2703.0,2018-05-18,08:52:00,665.7600000000001,9:03:05,4.65
ID1999535938,0,7,2,-37.8618349,144.905716,-37.8227216,144.9372467,9811.0,2018-06-15,17:44:36,3358.5,18:40:34,11.07
ID5190289351,2,6,2,-38.1109156,144.6541725,-37.8200529,144.9427973,41458.0,2018-04-28,15:18:35,9949.919999999998,18:04:24,995.46
ID1759934621,0,8,4,-37.807202,145.0266373,-37.8134029,145.0025066,2978.0,2018-03-03,02:18:21,682.9799999999999,2:29:43,16.23
ID1752185120,0,4,3,-37.773845,144.9836895,-37.80892,144.98255,5031.0,2018-01-08,23:33:16,1067.64,23:51:03,14.6
ID1460069322,0,4,1,-37.8040822,145.0052811,-37.8117836,144.9491211,5559.0,2018-07-10,04:46:27,1421.0400000000004,5:10:08,15.13
ID1923564546,0,6,7,-37.8042426,144.9171674,-37.8618349,144.905716,12378.0,2018-03-19,07:51:20,3936.6000000000013,8:56:56,8.2
ID3262121496,1,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-07-07,16:20:42,2302.3800000000006,16:59:04,25.0
ID3997728180,1,8,9,-37.8124304,145.0158665,-38.1109156,144.6541725,50038.0,2018-01-19,14:25:49,12105.719999999998,17:47:34,55.98
ID5246626726,2,1,6,-37.8618349,144.905716,-37.7874325,144.9803767,11633.0,2018-07-21,23:39:32,3645.299999999998,0:40:17,392.52
ID3967783734,1,6,3,-37.7874325,144.9803767,-37.8210245,144.9767611,4374.0,2018-02-26,01:46:19,1067.9400000000005,2:04:06,19.07
ID1422265590,0,4,6,-37.8119227,145.009993,-37.7907967,144.985865,4390.0,2018-07-24,00:40:04,1211.22,1:00:15,14.16
ID1661399453,0,4,6,-37.8051976,144.9944969,-37.773845,144.9836895,5723.0,2018-01-25,15:26:03,1211.7600000000002,15:46:14,9.14
ID3857786610,1,1,8,-37.8083395,144.9490344,-37.8158343,145.04645,8855.0,2018-02-16,07:08:28,2530.3199999999997,7:50:38,12.79
ID3645506523,1,9,6,-38.1109156,144.6541725,-37.7874421,144.9804091,47035.0,2018-04-26,10:18:01,11413.020000000008,13:28:14,47.46
ID1390705361,0,2,3,-37.8111596,144.9295583,-37.8228682,144.9553282,4064.0,2018-03-05,03:55:57,1045.68,4:13:22,13.68
ID3637545011,1,8,6,-37.8158343,145.04645,-37.7908183,144.9857929,7471.0,2018-07-28,16:41:26,2192.7000000000007,17:17:58,23.7
ID3889515928,1,9,6,-38.1109156,144.6541725,-37.7992786,144.9367969,44009.0,2018-04-28,04:54:35,10484.879999999997,7:49:19,61.63
ID3777905054,1,5,9,-37.7966796,144.9353698,-38.1109156,144.6541725,45647.0,2018-05-12,19:34:55,10970.64,22:37:45,55.69
ID3380829951,1,8,3,-37.8158343,145.04645,-37.8135038,144.9902428,5328.0,2018-06-24,16:08:03,1597.38,16:34:40,19.96
ID1137956521,0,4,1,-37.8109133,145.0098328,-37.8030858,144.950326,5467.0,2018-07-06,01:19:23,1298.1,1:41:01,14.07
ID5238984119,2,6,3,-37.773845,144.9836895,-37.7998153,144.9886964,5121.0,2018-05-10,07:57:52,1078.3200000000004,8:15:50,118.03
ID3240199521,1,2,9,-37.8239465,144.9419826,-38.1109156,144.6541725,42683.0,2018-02-28,21:30:09,10275.179999999998,0:21:24,54.19
ID3366918051,1,1,3,-37.8049397,144.9561684,-38.1109156,144.6541725,43635.0,2018-02-02,13:16:06,10563.119999999999,16:12:09,48.81
ID1561851035,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-05-05,01:10:37,13173.359999999999,4:50:10,32.83
ID3876163667,1,5,3,-37.8095656,144.93596,-37.8134943,144.9415645,1153.0,2018-01-11,22:30:21,266.16,22:34:47,16.0
ID1509053009,0,2,5,-37.8169557,144.9274136,-37.805093,144.9295737,3427.0,2018-07-09,22:17:29,817.0800000000002,22:31:06,12.34
ID1175734783,0,4,7,-37.8023772,145.0095198,-37.8618349,144.905716,12412.0,2018-05-24,04:24:45,4022.1600000000017,5:31:47,17.4
ID3598665749,1,6,8,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-04-07,03:58:14,2437.38,4:38:51,29.05
ID3408925879,1,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-07-08,13:56:12,11407.859999999999,17:06:19,58.14
ID3371118958,1,8,6,-37.807202,145.0266373,-37.7738026,144.9836466,11470.0,2018-06-12,08:21:01,3458.9400000000005,9:18:39,18.69
ID5126307546,2,4,8,-37.8114574,144.999985,-37.8158343,145.04645,4279.0,2018-07-06,00:43:00,1382.8200000000002,1:06:02,166.79
ID5644554410,2,3,9,-37.8216561,145.0025611,-38.1109156,144.6541725,47077.0,2018-02-08,21:33:39,11308.14,0:42:07,1131.04
ID5281175326,2,1,2,-37.8159285,144.9381575,-37.812703,144.9387562,638.0,2018-01-19,23:30:36,157.92000000000004,23:33:13,47.99
ID3798028500,1,4,1,-37.7995518,145.0036237,-37.8005285,144.9458413,5794.0,2018-06-25,15:57:45,1509.300000000001,16:22:54,15.3
ID3247179975,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-01-27,15:56:36,12681.060000000005,19:27:57,62.66
ID5464263783,2,9,6,-38.1109156,144.6541725,-37.7738026,144.9836466,51061.0,2018-05-06,22:31:34,12952.44000000001,2:07:26,1295.93
ID1702388328,0,4,1,37.810388,144.9990886,-37.8135389,144.9403554,5463.0,2018-07-01,11:18:33,1367.64,11:41:20,9.96
ID1148683905,0,4,1,37.8079234,144.9921256,-37.8134657,144.9408574,4956.0,2018-02-18,13:04:07,1201.1400000000006,13:24:08,12.15
ID3719921657,1,7,3,-37.8618349,144.905716,-37.8116652,144.9844562,9480.0,2018-02-03,13:50:22,3201.719999999998,14:43:43,27.47
ID3158283501,1,3,9,37.8175669,144.9704771,-38.1109156,144.6541725,44046.0,2018-04-13,08:54:28,10626.599999999999,11:51:34,46.99
ID3324427470,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-04-05,02:53:53,4917.479999999999,4:15:50,35.06
ID5409393312,2,7,8,37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-06-01,00:04:55,4911.599999999998,1:26:46,508.6
ID3344942106,1,8,2,37.8158343,145.04645,-37.8214747,144.9444227,9609.0,2018-01-26,02:30:43,2757.78,3:16:40,24.85
ID1991838556,0,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-02-08,14:17:54,13204.979999999994,17:57:58,23.62
ID1338722586,0,5,9,-37.8093789,144.9345269,-38.1109156,144.6541725,42968.0,2018-04-12,23:09:00,10288.74,2:00:28,23.57
ID1112926365,0,3,6,-37.821232,144.9780544,-37.7908183,144.9857929,3954.0,2018-04-13,03:35:37,935.9999999999998,3:51:13,13.15
ID1841454677,0,2,3,-37.820296,144.9454494,-37.8165423,144.9691791,2465.0,2018-05-05,19:01:25,596.58,19:11:21,11.82
ID1289874856,0,3,7,-37.8140732,144.9857293,37.8618349,144.905716,9514.0,2018-01-03,04:18:49,3220.9800000000005,5:12:29,15.5
ID1165088138,0,8,4,-37.8158343,145.04645,-37.8106352,145.0101566,3930.0,2018-02-25,03:33:56,1274.4599999999996,3:55:10,15.88
ID1695944847,0,9,5,-38.1109156,144.6541725,37.8132275,144.9334583,43718.0,2018-02-27,23:05:01,10499.759999999998,2:00:00,24.06
ID3974284558,1,8,2,-37.8158343,145.04645,-37.8197307,144.9409712,10008.0,2018-03-02,06:55:50,2823.4199999999987,7:42:53,14.98
ID1434297025,0,2,3,-37.8244182,144.948369,37.8246134,144.9706436,2401.0,2018-04-28,09:26:22,601.6799999999997,9:36:23,7.04
ID1948710912,0,7,1,-37.8618349,144.905716,37.8218788,144.9553,8189.0,2018-04-03,16:43:32,2853.1800000000003,17:31:05,9.97
ID1368314498,0,2,5,-37.822088,144.9500022,-37.815589,144.9219752,3676.0,2018-01-15,13:01:28,998.28,13:18:06,8.05
ID1950773506,0,6,1,-37.7874325,144.9803767,37.8141907,144.9630638,3836.0,2018-07-10,06:51:23,916.3800000000001,7:06:39,4.46
ID3262469328,1,2,6,-37.8130244,144.9353036,-37.7738026,144.9836466,10523.0,2018-07-24,03:47:48,3165.0600000000004,4:40:33,26.92
ID3881091431,1,4,2,-37.8108595,145.0073706,-37.8182916,144.9257561,8469.0,2018-03-05,14:16:39,2087.16,14:51:26,16.94
ID3937568206,1,2,3,-37.8150053,144.9381772,-37.8116818,144.9831732,4560.0,2018-04-14,07:08:59,1262.9800000000002,7:28:45,12.92
ID3841813599,1,1,4,-37.8113413,144.9475256,-37.8165173,145.0056336,6716.0,2018-07-01,01:01:54,1875.8799999999997,1:31:56,26.86
ID1514466182,0,5,9,-37.8075805,144.9324425,-38.1109156,144.6541725,43252.0,2018-01-10,17:41:00,10379.279999999999,20:33:59,20.58
ID1395070338,0,1,5,-37.8194929,144.9631072,-37.8093814,144.9317534,3342.0,2018-07-28,07:10:39,830.46,7:24:14,8.58
ID1365857315,0,9,1,-38.1109156,144.6541725,-37.8050964,144.9361752,44609.0,2018-03-23,08:07:38,10738.719999999996,11:06:05,16.92
ID1648053508,0,2,6,-37.8263639,144.9518351,-37.7908183,144.9857929,5820.0,2018-01-04,07:32:58,1483.9,7:57:46,6.36
ID3818801142,1,5,4,-37.8054759,144.9268255,-37.804485,145.0039791,7926.0,2018-07-25,02:34:28,2091.9599999999996,3:09:19,23.62
ID3761500807,1,4,9,-37.8166191,145.0134406,-38.1109156,144.6541725,48139.0,2018-06-02,23:55:30,11571.18,3:08:21,65.09
ID1857596729,0,3,4,-37.8222658,144.9715037,-37.8109133,145.0098328,4784.0,2018-04-13,04:13:58,1210.18,4:33:52,14.06
ID1737112076,0,6,3,-37.7874325,144.9803767,-37.8188454,144.9821163,3880.0,2018-05-08,17:11:20,977.9400000000002,17:27:37,9.04
ID1252616301,0,2,4,-37.8152344,144.9275802,-37.8099705,145.0131639,9188.0,2018-01-08,06:36:46,2282.100000000001,7:14:48,5.9
ID5947942714,2,6,8,-37.7908183,144.9857929,-37.8158343,145.04645,7471.0,2018-07-06,09:38:06,2276.7000000000003,10:14:38,226.88
ID3282762259,1,9,3,-38.1109156,144.6541725,-37.8244833,144.9799893,45200.0,2018-06-08,09:08:02,10940.460000000001,12:09:49,45.36
ID3821518369,1,1,6,-37.8040911,144.9619114,-37.7874325,144.9803767,3287.0,2018-06-15,17:19:33,847.74,17:33:40,11.97
ID1590900698,0,8,1,-37.8158343,145.04645,-37.8128601,144.9680435,7271.0,2018-06-18,12:15:26,2086.0800000000004,12:50:12,9.08
