,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3487635877,1,8,4,-37.8158343,145.04645,-37.8100093,144.9957902,4510.0,2018-09-03,07:24:43,1411.44,7:48:14,9.04
ID1553159484,0,3,3,-37.8109075,144.9888918,-37.8080677,144.9917146,536.0,2018-08-05,08:22:56,153.54,8:25:29,3.91
ID3397114293,1,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-04-20,21:25:59,2302.38,22:04:21,25.32
ID3646335243,1,5,6,-37.7990471,144.9355884,-37.7907967,144.985865,7771.0,2018-07-14,10:44:36,2060.88,11:18:56,16.15
ID3427629663,1,7,4,-37.8618349,144.90571599999998,-37.8141184,145.00928100000002,11869.0,2018-07-26,11:59:45,3714.66,13:01:39,17.24
ID1283829247,0,6,6,-37.7738026,144.98364660000001,-37.7996973,144.97378799999998,6517.0,2018-05-06,02:56:52,2133.36,3:32:25,14.2
ID3201506374,1,4,9,-37.8124079,145.0096948,-38.1109156,144.65417250000002,47816.0,2018-07-19,08:59:36,11487.48,12:11:03,47.37
ID3629793559,1,3,2,-37.818003499999996,144.99411030000002,-37.8223955,144.94742319999997,4322.0,2018-09-04,06:26:05,1139.46,6:45:04,6.96
ID3120442039,1,7,6,-37.8618349,144.90571599999998,-37.7874325,144.9803767,11633.0,2018-09-06,17:50:01,3645.3,18:50:46,28.26
ID3574731417,1,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-02-05,20:56:30,4917.48,22:18:27,29.26
ID3294763884,1,3,5,-37.813092100000006,144.9708751,-37.807430700000005,144.9340125,3860.0,2018-04-04,06:06:05,880.98,6:20:45,7.29
ID1678135765,0,5,4,-37.805980600000005,144.93913480000003,-37.8130627,145.0117925,6827.0,2018-12-04,11:36:55,1764.9,12:06:19,4.89
ID5979667243,2,9,4,-38.1109156,144.65417250000002,-37.8069839,145.0106199,48238.0,2018-07-13,21:43:09,11736.3,0:58:45,1171.65
ID3551938342,1,7,5,-37.8618349,144.90571599999998,-37.8115093,144.93579580000002,10699.0,2018-06-28,04:07:08,3464.4,5:04:52,28.14
ID3551925896,1,7,2,-37.8618349,144.90571599999998,-37.814128000000004,144.93883799999998,10263.0,2018-04-03,06:44:58,3376.74,7:41:14,20.62
ID3338832933,1,3,9,-37.8234498,144.9770781,-38.1109156,144.65417250000002,44918.0,2018-06-27,21:25:20,10837.8,0:25:57,55.8
ID1896487448,0,3,4,-37.823832,144.981317,-37.8126689,145.0002816,2703.0,2018-05-18,08:52:00,665.76,9:03:05,4.65
ID1999535938,0,7,2,-37.8618349,144.90571599999998,-37.8227216,144.9372467,9811.0,2018-06-15,17:44:36,3358.5,18:40:34,11.07
ID5190289351,2,9,2,-38.1109156,144.65417250000002,-37.8200529,144.94279730000002,41458.0,2018-04-28,15:18:35,9949.92,18:04:24,995.46
ID1759934621,0,4,4,-37.807202000000004,145.0266373,-37.8134029,145.00250659999998,2978.0,2018-03-03,02:18:21,682.98,2:29:43,16.23
ID1752185120,0,6,3,-37.773845,144.9836895,-37.80892,144.98255,5031.0,2018-08-01,23:33:16,1067.64,23:51:03,14.6
ID1460069322,0,4,2,-37.8040822,145.0052811,-37.8117836,144.94912109999999,5559.0,2018-10-07,04:46:27,1421.04,5:10:08,15.13
ID1923564546,0,5,7,-37.8042426,144.9171674,-37.8618349,144.90571599999998,12378.0,2018-03-19,07:51:20,3936.6,8:56:56,8.2
ID3262121496,1,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-07-07,16:20:42,2302.38,16:59:04,25.0
ID3997728180,1,4,9,-37.812430400000004,145.01586650000002,-38.1109156,144.65417250000002,50038.0,2018-01-19,14:25:49,12105.72,17:47:34,55.98
