,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1175692122,0.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-05-16,08:09:23,12681.060000000005,11:40:44,24.93
ID1203782189,0.0,2,5,-37.816939899999994,144.9315539,-37.805029,144.9312301,3420.0,2018-06-03,01:07:30,950.04,1:23:20,14.93
ID1771871365,0.0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-06-18,22:00:40,12681.059999999998,1:32:01,31.54
ID5801114100,2.0,4,3,-37.80104420000001,145.008336,-37.8240593,144.9735177,5386.0,2018-03-04,18:19:54,1294.1999999999996,18:41:28,151.79
ID1391587949,0.0,6,9,-37.7908183,144.9857929,-38.1109156,144.65417250000002,47186.0,2018-05-13,18:01:28,11418.06,21:11:46,29.73
ID1274657786,0.0,6,9,-37.7907967,144.985865,-38.1109156,144.65417250000002,47193.0,2018-01-13,05:05:56,11530.62,8:18:06,33.81
ID5356847499,2.0,4,3,-37.813254799999996,145.01170430000002,-37.8210808,144.983917,3426.0,2018-04-09,17:51:33,887.2199999999998,18:06:20,105.39
ID3511512844,1.0,6,5,-37.7874325,144.9803767,-37.8054152,144.929605,6509.0,2018-01-01,05:39:50,1738.3200000000006,6:08:48,22.94
ID1658615554,0.0,5,8,-37.8101861,144.93057980000003,-37.8158343,145.04645,11394.0,2018-04-28,03:35:11,3176.1,4:28:07,20.65
ID1954310388,0.0,5,3,-37.8019203,144.93431759999999,-37.814808299999996,144.9814605,5246.0,2018-04-16,13:42:07,1220.2799999999995,14:02:27,9.42
ID3732041814,1.0,4,5,-37.8054952,144.9978162,-37.8153797,144.92251059999998,7812.0,2018-05-09,23:45:02,2062.919999999999,0:19:24,24.51
ID1575191737,0.0,4,6,-37.799319399999995,145.0097427,-37.773845,144.9836895,7321.0,2018-04-07,08:47:47,1697.1000000000006,9:16:04,10.74
ID1908480987,0.0,1,7,-37.8078753,144.9730954,-37.8618349,144.90571599999998,9253.0,2018-07-01,17:01:35,3107.52,17:53:22,15.08
ID1655683027,0.0,6,9,-37.7908183,144.9857929,-38.1109156,144.65417250000002,47186.0,2018-04-08,02:44:28,11418.06,5:54:46,34.83
ID1199273652,0.0,7,1,-37.8618349,144.90571599999998,-37.8187341,144.9553509,8293.0,2018-03-09,02:18:40,2895.179999999998,3:06:55,15.91
ID1245875171,0.0,6,9,-37.7738026,144.98364660000001,-38.1109156,144.65417250000002,51061.0,2018-06-16,23:25:38,12976.499999999995,3:01:54,35.46
ID1974359820,0.0,8,3,-37.807202000000004,145.0266373,-37.8137727,144.9907207,4149.0,2018-01-07,17:07:00,969.0,17:23:09,12.11
ID1603395037,0.0,1,7,-37.806362,144.9466284,-37.8618349,144.90571599999998,9960.0,2018-02-16,02:39:34,3353.5200000000004,3:35:27,14.34
ID1758373898,0.0,7,8,-37.8618349,144.90571599999998,-37.807202000000004,145.0266373,13986.0,2018-04-01,21:36:36,4292.399999999998,22:48:08,23.71
ID1866457296,0.0,1,7,-37.823999900000004,144.9537655,-37.8618349,144.90571599999998,8174.0,2018-06-28,09:46:08,2899.38,10:34:27,9.35
ID3958430530,1.0,4,8,-37.7998186,144.9927729,-37.8158343,145.04645,5817.0,2018-04-26,06:40:10,1777.02,7:09:47,14.82
ID5820070270,2.0,1,9,-37.8117713,144.9392675,-38.1109156,144.65417250000002,42610.0,2018-06-23,19:54:25,10206.3,22:44:31,1003.49
ID3157090346,1.0,6,7,-37.773845,144.9836895,-37.8618349,144.90571599999998,13169.0,2018-06-26,15:03:40,3866.4600000000014,16:08:06,28.62
