,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1175692122,,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-05-16,08:09:23,12681.060000000005,11:40:44,24.93
ID1203782189,0.0,2,5,-37.8169399,144.9315539,-37.805029,144.9312301,3420.0,2018-06-03,01:07:30,950.04,1:23:20,14.93
ID1771871365,0.0,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-06-18,22:00:40,12681.059999999998,1:32:01,31.54
ID5801114100,2.0,4,3,-37.8010442,145.008336,-37.8240593,144.9735177,5386.0,2018-03-04,18:19:54,1294.1999999999998,18:41:28,151.79
ID1391587949,,6,9,-37.7908183,144.9857929,-38.1109156,144.6541725,47186.0,2018-05-13,18:01:28,11418.06,21:11:46,29.73
ID1274657786,0.0,6,9,-37.7907967,144.985865,-38.1109156,144.6541725,47193.0,2018-01-13,05:05:56,11530.619999999999,8:18:06,33.81
ID5356847499,2.0,4,3,-37.8132548,145.0117043,-37.8210808,144.983917,3426.0,2018-04-09,17:51:33,887.2199999999999,18:06:20,105.39
ID3511512844,1.0,6,5,-37.7874325,144.9803767,-37.8054152,144.929605,6509.0,2018-01-01,05:39:50,1738.3200000000004,6:08:48,22.94
ID1658615554,,5,8,-37.8101861,144.9305798,-37.8158343,145.04645,11394.0,2018-04-28,03:35:11,3176.1,4:28:07,20.65
ID1954310388,,5,3,-37.8019203,144.9343176,-37.8148083,144.9814605,5246.0,2018-04-16,13:42:07,1220.2799999999997,14:02:27,9.42
ID3732041814,,4,5,-37.8054952,144.9978162,-37.8153797,144.9225106,7812.0,2018-05-09,23:45:02,2062.919999999999,0:19:24,24.51
ID1575191737,0.0,4,6,-37.7993194,145.0097427,-37.773845,144.9836895,7321.0,2018-04-07,08:47:47,1697.1000000000004,9:16:04,10.74
ID1908480987,,1,7,-37.8078753,144.9730954,-37.8618349,144.905716,9253.0,2018-07-01,17:01:35,3107.52,17:53:22,15.08
ID1655683027,0.0,6,9,-37.7908183,144.9857929,-38.1109156,144.6541725,47186.0,2018-04-08,02:44:28,11418.06,5:54:46,34.83
