,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3984160279,1,5,9,-37.7999051,144.9347448,-38.1109156,144.65417250000004,46061.0,2018-01-21,00:40:13,11069.52,3:44:42,62.98
ID1504197634,0,2,9,-37.8136525,144.9370198,-38.1109156,144.65417250000004,42677.0,2018-02-04,22:25:38,10225.74,1:16:03,31.32
ID1810289714,0,9,1,-38.1109156,144.65417250000004,-37.8131771,144.9628275,43425.0,2018-02-07,01:10:52,10439.28,4:04:51,25.73
ID1223605929,0,2,6,-37.8179731,144.9320529,-37.7874325,144.9803767,6602.0,2018-05-12,06:56:11,1661.7600000000016,7:23:52,9.41
ID5639243507,2,7,2,-37.8618349,144.90571599999996,-37.8232812,144.938265,9701.0,2018-02-22,19:30:25,3187.32,20:23:32,243.55
ID3251837885,1,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000004,51032.0,2018-03-05,06:08:06,12681.059999999998,9:39:27,54.13
ID3372259836,1,1,9,-37.8195536,144.9445256,-38.1109156,144.65417250000004,41458.0,2018-06-13,01:11:57,9949.38,3:57:46,56.64
ID3901667441,1,6,1,-37.7907967,144.985865,-37.80453920000001,144.95608719999996,4057.0,2018-06-23,05:12:46,1157.1000000000004,5:32:03,22.88
ID3631879737,1,4,9,-37.8003197,145.0098041,-38.1109156,144.65417250000004,48447.0,2018-05-08,01:21:06,11806.5,4:37:52,61.64
ID1128692001,0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000004,51032.0,2018-07-26,21:49:42,12681.059999999998,1:21:03,30.77
ID3150859007,1,3,1,-37.81149310000001,144.9813197,-37.8203203,144.95772580000005,2489.0,2018-03-09,12:09:26,681.7199999999998,12:20:47,13.47
ID3539658231,1,6,2,-37.7908183,144.9857929,-37.8209007,144.9476645,5630.0,2018-02-12,07:24:34,1321.9199999999996,7:46:35,9.23
ID1429728267,0,3,4,-37.8184561,145.005315,-37.8031045,144.9905,2842.0,2018-01-23,06:40:09,747.6600000000003,6:52:36,3.5
ID3810823063,1,4,3,-37.8093149,145.01362450000005,-37.8258378,144.9829349,4321.0,2018-03-02,09:33:57,1097.8800000000006,9:52:14,8.37
ID3668285184,1,5,7,-37.80162979999999,144.9211476,-37.8618349,144.90571599999996,12154.0,2018-05-26,08:30:42,3781.800000000001,9:33:43,21.46
ID3228839469,1,8,5,-37.807202,145.0266373,-37.8047649,144.93267980000005,9031.0,2018-05-20,13:55:21,2348.519999999999,14:34:29,22.47
ID3833070148,1,8,2,-37.8158343,145.04645,-37.8143343,144.9390043,9804.0,2018-03-19,14:21:53,2736.4199999999983,15:07:29,20.5
